;Локальная тема;Описание
0;Несоблюдение требований к размещению информационных вывесок;
1;Несоблюдение требований к размещению информационных вывесок;При движении в сторону кладбища по правой стороне, расположен продовольственный киоск весь в рекламных вывесках! Прошу проверить рекламные вывески!
2;Несоблюдение требований к размещению информационных вывесок;
3;Несоблюдение требований к размещению информационных вывесок;Прошу проверить законность установки рекламы,а также остальных вывесок на д25-29 Соколово-мещерская ул( внутри 1 мкр)
4;Несоблюдение требований к размещению информационных вывесок;Просьба проверить рекламные конструкции на несоблюдение требований к размещению информационных вывесок.
5;Незаконная установка рекламной конструкции;Прошу убрать рекламную конструкцию
6;Несоблюдение требований к размещению информационных вывесок;Несоответствие 902-ПП. Вывеска висит в воздухе, должна быть расположена непосредственно на фасаде.
7;Несоблюдение требований к размещению информационных вывесок;"Несоответствие 902-ПП. Вывеска ""Торговый центр"" задвоена - запрещено. Вывеска ""Куб"" расположена на крыше. На крыше может располагаться конструкция, если всё здание принадлежит одному собственнику (п.21.1)"
8;Несоблюдение требований к размещению информационных вывесок;Несоответствие 902-ПП. Вывеска висит в воздухе, должна быть расположена непосредственно на фасаде. Превышена максимально допустимая длина вывески по отношению к длине фасада арендуемой площади.
9;Несоблюдение требований к размещению информационных вывесок;Несоответствие 902-ПП. Часть вывесок незаконна.
10;Несоблюдение требований к размещению информационных вывесок;"Несоответствие 902-ПП. Вывеска ""Оптика"" незаконная."
11;Несоблюдение требований к размещению информационных вывесок;По адресу Рязанский проспект д. 2/1 корп. 5 располагается магазин цветов, который нарушает дизайн код города Москвы. Закреплены металлические декоративные элементы на фасад, на окнах и дверях реклама, содержащая номера телефонов и адрес их сайта.
12;Несоблюдение требований к размещению информационных вывесок;"Вывески ""Мяснов"", ""Отдохни"", ""Куллклевер"" располагаются дугой, что запрещено 902-ПП. Расположение букв может быть только горизонтальным по прямой линии."
13;Несоблюдение требований к размещению информационных вывесок;Несоответствие 902-ПП. Медиафасад.
14;Незаконная установка рекламной конструкции;Очередное размещение конструкций.
15;Незаконная установка рекламной конструкции;установлено множество незаконных рекламных конструкций
16;Незаконная установка рекламной конструкции;
17;Несоблюдение требований к размещению информационных вывесок;"Банерная ткань запрещена!Прошу демонтировать вывески, не отвечающие требованиям постановления Правительства Москвы от 25.12.2013 г. №902-ПП ""О размещении информационных конструкций в городе Москве"". "
18;Несоблюдение требований к размещению информационных вывесок;Прошу проверить законность вывески на двери
19;Несоблюдение требований к размещению информационных вывесок;Информационный баннер, во дворе дома номер 3. 
