;Локальная тема;Описание
0;Неубранный подъезд;Мусор на лестнице
1;Некачественный текущий ремонт;Мы отправляли жалобу на покраску стен, потолков, батарей, плинтусов. Покрасили частично и одним слоем. Общий вид стал хуже чем было. Под батареями, между ними и под ними не покрасили. На потолках дырки замазали гипсом и не побелили. Остались торчать какие то гвозди или дюбеля. Просьба докрасить весь 5-й этаж одним цветом. И помыть стекла в окнах 
2;Протечка в подъезде;4 подъезд 16 этаж протечка. 
3;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;Добрый день! Согласно графика отключения горячей воды в нашем доме, вода должна была быть отключена с 06.08.2020 по 16.08.2020. Сегодня уже 22.08.2020, горячей воды до сих пор нет. Почему нарушены сроки? И когда будет включена горячая вода?
4;Поврежденные лестницы;Лестница разваливается, крошится вся. С детьми ходить страшно, спотыкаешься постоянно.
5;Некачественное содержание мусоропровода;Это 6 этаж. Так выглядят люки в мусоропровод. Из мусоропровода идёт резкий запах. Ползут тараканы. Просьб исправить и привезти мусорные люки во всем подъезда в нормальный вид. Это не экологично, не эстетично и явно противоречит санитарным нормам.
6;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Выпадающий потолочный люк
7;Поврежденный козырек подъезда;Даже прсле многократного напоминания техник ГБУ Жилищника Ховрино бездействует и подьезд продолжает разрушаться
8;Поврежденные окна;В 4 подъезде на окнах отсутствуют ручки. Открывать и закрывать окна для проветривания лестничной площадки не представляется возможны 
9;Неисправность/повреждение входной двери/домофона;Отсутствуют защелки на обеих входных группах
10;Повреждение электропроводки/щитового оборудования;Торчащие, «НА СКОРУЮ РУКУ» заизолированные провода электро проводки в тамбуре 2 подъезда не обеспечивает безопасность, согласно действующего СНИПа и СП.
11;Неубранный подъезд;Грязно в подъезде, требуется влажная уборка СРОЧНО!
12;Некачественное содержание/неисправность лифта;Прошу заменить освещение в лифте. На данный момент освещение темно-желтого света. темно в лифте. Дети бояться ехать, пожилые плохо видят и спотыкаются. Прошу обратить внимания и подойти ответственно к этому вопросу! Возможно потребуется замена не только лампы, но и самой световой крышки (она уже потёрта и не пропускает в полной мере свет).
13;Неисправность элементов освещения;
14;Некачественное содержание/неисправность лифта;Мигает свет в лифте.
15;Неисправность/повреждение входной двери/домофона;
16;Неубранный подъезд;Подъезд и лестничные проемы не убираются. Я заехал в этот дома как 3 дня. В подъезда разлили пиво, никто не убирает. Уборкой и не пахнет. Прошу разобраться. Санитарные нормы никто не отменял.
17;Некачественное содержание мусоропровода;Не закрывается дверца мусоропровола, а также идёт жуткий запах из мусоропровола. Прошу исправить. Заранее спасибо.
18;Незаконное проживание мигрантов в местах общего пользования многоквартирного дома;В подъезде на общедомовой площади огороженно помещение, доступа жильцам в это помещение отсутствует.
19;Неисправность элементов освещения;Вообще во всем подъезде не яркое освещение. Где-то вообще давно лампы перегорели. Очень мрачное и по вечерам плохо видно. Прошу разобраться и провести инспекцию. А так же вставить новые лампочки или заменить светильники на новые.
20;Некачественное содержание/неисправность лифта;Наведите порядок в этом беспределе, лифты ломаются каждую неделю! Провалились в левом лифте при спуске вниз в шахту и застряли с сильным ударом, еле выбрались! Лифт теперь стоит сломанный. В правом лифте не работает микрофон связи с диспетчером, диспетчер не слышит голоса звонящего, допроситься о помощи нет возможности. 
21;Неубранный подъезд;После замены окон оставили грязь и мусор ,лежит уже несколько дней
