;Локальная тема;Описание
0;Незаконные объявления, надписи, изображения на павильоне;
1;Незаконные объявления, надписи, изображения на павильоне;
2;Незаконные объявления, надписи, изображения на павильоне;На павильоне ожидания наземного городского пассажирского транспорта вандальные надписи.
3;Незаконные объявления, надписи, изображения на павильоне;
4;Незаконные объявления, надписи, изображения на павильоне;
5;Повреждение остановочного павильона;Здравствуйте! У павильона отсутствуют два боковых стекла.
6;Повреждение остановочного павильона;Прошу Вас взять на особый контроль этот объект это портит вид района и обстановки полностью разбитая отсутстановка надо усилить контроль за остановками очень сильно портит вид остановки
7;Незаконные объявления, надписи, изображения на павильоне;
8;Незаконные объявления, надписи, изображения на павильоне;
9;Повреждение остановочного павильона;Нет одной перекладины на лавке
10;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Прошу Вас взять на особый контроль этот объект это портит вид остановки надо усилить контроль за остановками это портит вид района и остановками
11;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует расписание
12;Повреждение остановочного павильона;Разбито одно из стекл остановки. Прошу организовать замену разбитого стекла.
13;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует расписание
14;Незаконные объявления, надписи, изображения на павильоне;
15;Незаконные объявления, надписи, изображения на павильоне;
16;Незаконные объявления, надписи, изображения на павильоне;
17;Незаконные объявления, надписи, изображения на павильоне;
18;Незаконные объявления, надписи, изображения на павильоне;
19;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует расписание
20;Отсутствие или повреждение урн;Отсутствуют урны. Нет ни одной
21;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует расписание
22;Неисправное электронное информационное табло/пилон;
23;Повреждение остановочного павильона;Остановка полностью вся ржавая, она может в любое время упасть на пассажиров или пешеходов из-за коррозий металла либо при плохой погоде в Москве. Прошу убрать ее и проверить на безопасность. 
24;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;Отсутствует номер маршрута «243» автобус. 
25;Незаконные объявления, надписи, изображения на павильоне;
26;Повреждение остановочных указателей маршрутов;
27;Незаконные объявления, надписи, изображения на павильоне;
28;Повреждение остановочных указателей маршрутов;Граффити
29;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;На информационных указателях отсутствует информация о маршрутах т20, т70 и т82. 
30;Незаконные объявления, надписи, изображения на павильоне;
31;Незаконные объявления, надписи, изображения на павильоне;
32;Неисправное электронное информационное табло/пилон;
33;Незаконные объявления, надписи, изображения на павильоне;Вандальные надписи на стёклах остановочного павильнона.
34;Повреждение остановочных указателей маршрутов;На остановке разбит указатель
35;Повреждение остановочного павильона;остановочный павильон прогнил и нуждается в ремонте или в замене на новый
36;Повреждение остановочного павильона;Это еще и электро опасно.
37;Повреждение остановочных указателей маршрутов;Вандалки
38;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;
39;Незаконные объявления, надписи, изображения на павильоне;
40;Неисправное электронное информационное табло/пилон;Лампа под стеклом то горит, то моргает, то гаснет.
41;Неубранная остановка общественного транспорта;Переполненная урна 
42;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;График движения маршрутов новой модели
43;Незаконные объявления, надписи, изображения на павильоне;
44;Неубранная остановка общественного транспорта;Грязь, окурки
45;Повреждение остановочных указателей маршрутов;Наличие вандальных надписей на маршрутном указателе!
46;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;"На маршрутном указателе неправильно указан пункт назначения маршрута N459. Маршрут N459 следует до конечной остановки ""Метро Кунцевская"", а также отсутствует информация о маршруте N575."
47;Повреждение остановочного павильона;Крыша остановочного павильона вся в дырках.
48;Незаконные объявления, надписи, изображения на павильоне;
49;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;На указателе на крыше остановки отсутствуют маршруты 324 и 474. Необходимо их добавить.
50;Отсутствие остановочного указателя маршрутов/некорректная информация на указателе;
51;Повреждение остановочного павильона;Отсутствует стекло
52;Незаконные объявления, надписи, изображения на павильоне;
53;Повреждение остановочного павильона;
54;Отсутствие или повреждение урн;Повреждение урны - расходятся части.
55;Повреждение остановочного павильона;Отсутствуют стекла в остановочном павильоне
56;Отсутствие или повреждение урн;Урна повреждена, остался только каркас, емкость урны отсутствует, прошу привести в соответствие, спасибо
57;Повреждение остановочного павильона;В районе станции метро ,, Чистые пруды ,, на остановке городского общественного траспорта в сторону Лубянская площадь нету стекла.Прошу Вас принять меры что бы установили стекло на этой остановки .фотки имеются этой остановки.
58;Неубранная остановка общественного транспорта;Не очищена урна на остановке, мусор уже вываливается, прошу обратить внимание, спасибо
59;Неисправное электронное информационное табло/пилон;
