;Локальная тема;Описание
0;Неубранная городская территория;Захламление территории 
1;Захламление территории;Просим убрать свалку мусора 
2;Неубранная городская территория;
3;Неубранная городская территория;Просьба убрать территорию
4;Неубранная городская территория;Хочу сообщить о проблеме, что не убирают детскую площадку, по всей площадки разбросаны сухие листья и не только листья но и мусор 
5;Захламление территории;Это что за ж.б. мусор? Дпиоос, ау.
6;Неубранная городская территория;На земле много мусора, просьба убрать территорию.
7;Неубранная городская территория;
8;Неубранная городская территория;
9;Неубранная городская территория;
10;Неубранная городская территория;Прошу произвести уборку, а не разбрасывать мусор.
11;Неубранная городская территория;Не решега проблема
12;Неубранная городская территория;
13;Некачественное содержание улично-дорожных информационных указателей;
14;Повреждение уличной лестницы;Лестница травматическая за остановкой. Восстановите ступеньки, пока никто лоб себе не расшиб. Спасибо 
15;Неубранная городская территория;Мусор лежит вдоль всего тротуара, необходима уборка 
16;Неубранная городская территория;Добрый День! При ливнях затопляло цокольный этаж, видимо хотели сделать перекрытия. Уже месяц в таком виде лежат
17;Неубранная городская территория;
18;Неубранная городская территория;На этом участке регулярно скапливаются отходы! Их убирают, но люди все равно выкидывают на склон отходы. 
19;Неубранная городская территория;
20;Неубранная городская территория;
21;Неубранная городская территория;21.08.2020 года. ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ меняли кусок асфальта по адресу Никулинская 6 к 1. По итогу замены асфальта, старые куски асфальта вывезли на пустырь к детскому саду. Фото приложено.
22;Неубранная городская территория;Систематически захламляется и некачественно убирается территория в закутке кустов во дворе дома 58а по ул Бауманская
23;Захламление территории;Прошу убрать брошенные бетонные блоки, которые в настоящее время являются предметом захламления территории.
24;Неубранная городская территория;
25;Неубранная городская территория;Мусор во внутреннем дворе дома 12
26;Неубранная городская территория;
27;Неубранная городская территория;Добрый день. Огромная просьба, убрать территорию! Также прошу обратить внимание главы управы района Фили-Давыдково на качество уборки улиц: Кременчугская, Ватутина, Артамонова, Инициативная! 
28;Неубранная городская территория;Мусор неубран возле лавки
29;Некачественное содержание улично-дорожных информационных указателей;Отсутствует инфокуб. Прошу проверить указатель на соответствие в ГБУ МАЦ не хватает инфополей
30;Некачественное содержание улично-дорожных информационных указателей;Отсутствует инфокуб, прошу проверить на соответствие в ГБУ МАЦ не хватает инфополей
