;Локальная тема;Описание
0;Отсутствие информационного щита/некачественное содержание щита;
1;Отсутствие ограждения площадки/ некачественное содержание ограждения;Пожалуйста, восстановите целостность забора строительства сзади дома 107к3. Спасибо
2;Отсутствие информационного щита/некачественное содержание щита;
3;Отсутствие освещения в ночное время;Нет осветительных плафонов для освещения строительной площадки в тёмное время суток,
4;Отсутствие ограждения площадки/ некачественное содержание ограждения;Нет тканевых огражлений на строительной площадке, пыль при ветре летит на прохожих. Видна плохо огороженная глубокая яма.
5;Неубранная территория строительной площадки;Пожалуйста, уберите крупный мусор (паллеты, покрышки для разметки) на стройку. Спасибо
6;Отсутствие освещения в ночное время;Нет освещения на строительной площадке в тёмное время суток. Осветительные плафоны на ограждения повешены, но не горят.
7;Отсутствие ограждения площадки/ некачественное содержание ограждения;Около остановки общественного транспорта м. Ботанический сад154.33 - ограждения не закреплены, нет ночного освещения, нет информационного щита. Ограждения упали на проезжую часть
8;Отсутствие ограждения площадки/ некачественное содержание ограждения;Временный пешеходный настил не соответствует нормативным требованиям. Пройти с коляской невозможно. Приходится идти по проезжей части.
9;Отсутствие ограждения площадки/ некачественное содержание ограждения;Перерыт тротуар в районе дома 97 и 99, обход/объезд не организован! Нет пандуса для пешеход с колясками, велосипедами и для маломобильной группы лиц. Высокий бордюр не дает возможности подняться.
10;Отсутствие информационного щита/некачественное содержание щита;
11;Неубранная территория строительной площадки;раскидали вокруг ограждения 
12;Несвоевременное восстановление благоустройства;Во время ремонта теплотрассы выкопали и вытащили на тротуар стойку с информационными табличками. После окончания ремонта так и оставили стойку на тротуаре. Верните стойку на ее исходное место на газоне. Спасибо
13;Отсутствие ограждения площадки/ некачественное содержание ограждения;На ограждении присутствует графити 
14;Отсутствие информационного щита/некачественное содержание щита;
15;Отсутствие освещения в ночное время;Отсутствуют лампочки аварийного освещения в ночное время строительной площадки проекта «походный» мосгаза у не регулируемого пешеходного перехода на пересечении Фабричного проезда и Окружной ул. , со стороны Сходненского Ковша
16;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ограждения необходимо покрасить
17;Отсутствие ограждения площадки/ некачественное содержание ограждения;Покосившийся ржавый забор с опасно выступающими элементами на пересечении улиц Рузская и Тропаревская
18;Отсутствие освещения в ночное время;Отсутствует предупреждающее освещение (красные огни) по периметру стройки (со стороны д.14 к.1). Адрес: Окская улица д.16 к.3
19;Отсутствие ограждения площадки/ некачественное содержание ограждения;На ограждении прустувуюи графити. 
20;Отсутствие освещения в ночное время;"Возле недавно построенного метро ""Солнцево"" опять стройплощадка. На ограждении нет аварийного освещения."
21;Отсутствие информационного щита/некачественное содержание щита;
22;Неубранная территория строительной площадки;Захламление территории (пожарный проезд) строительным мусором. Хранение стройматериалов.
23;Отсутствие освещения в ночное время;Отсутствует аварийное освещение
24;Отсутствие информационного щита/некачественное содержание щита;
25;Отсутствие информационного щита/некачественное содержание щита;
26;Отсутствие информационного щита/некачественное содержание щита;
27;Отсутствие информационного щита/некачественное содержание щита;
28;Несвоевременное восстановление благоустройства;Почему не восстановлено дорожное покрытие тротуара после разрытия?
29;Несвоевременное восстановление благоустройства;Прошу убрать с парковки временные знаки пешеходного перехода, которые были установлены на время проведения работ на теплоцентрали. Работы окончены,а знаки так и остались стоять на парковке.
30;Неубранная территория строительной площадки;Неубранная территория на стройке.
31;Несвоевременное восстановление благоустройства;
32;Отсутствие информационного щита/некачественное содержание щита;
33;Несвоевременное восстановление благоустройства;Не демонтирована одна ржавая наклонённая опора электроснабжения стройплощадки и бетонные плиты возле неё
34;Отсутствие освещения в ночное время;Нет красных фонариков д.4 по всему периметру ограждения стройки, нарушение.
35;Отсутствие освещения в ночное время;Отсутствует освещение в ночное время
36;Несвоевременное восстановление благоустройства;Требуется восстановление благоустройства, на тротуаре после развития.
37;Несвоевременное восстановление благоустройства;После проведения работ дорожные покрытия, тротуары, газоны и другие разрытые участки должны быть восстановлены в сроки, указанные в ордере (разрешении). Строительные работы закончились, а место их проведения до сих пор не приведено в изначальный вид.
38;Несвоевременное восстановление благоустройства;
39;Отсутствие информационного щита/некачественное содержание щита;
40;Несвоевременное восстановление благоустройства;после выполнения работ без ограждений отсутствует благоустройство
41;Отсутствие ограждения площадки/ некачественное содержание ограждения;отсутствуют ограждения котлована рядом с детской площадкой
42;Отсутствие освещения в ночное время;Отсутствует освещение предупреждающими красными огнями ограждения стройки РЕНОВАЦИИ. Адрес: ул. Юных Ленинцев, вл.73
43;Отсутствие ограждения площадки/ некачественное содержание ограждения;Ведуться земляные работы, а ограждение места работ отсутствует.
44;Отсутствие освещения в ночное время;Не работает аварийное освещение.
45;Отсутствие ограждения площадки/ некачественное содержание ограждения;На ограждении стройплощадки посторонние надписи.
46;Несвоевременное восстановление благоустройства;Прошло более года после работ, а восстановить тротуар ни кто не в силах. Прошу устранить.
47;Отсутствие информационного щита/некачественное содержание щита;
48;Отсутствие ограждения площадки/ некачественное содержание ограждения;
49;Отсутствие освещения в ночное время;
50;Отсутствие информационного щита/некачественное содержание щита;
51;Неубранная территория строительной площадки;Отсутствует мойка колес на территории стройки. Вынос грязи со стройки.
52;Отсутствие информационного щита/некачественное содержание щита;
53;Отсутствие освещения в ночное время;
54;Несвоевременное восстановление благоустройства;Более двух лет назад установлена новая опора контактной сети троллейбуса, но со старой опоры на новую не перенесли кабели и светильники наружного освещения и не демонтировали её.
