;Локальная тема;Описание
0;Некачественное содержание детской площадки;Песчаное покрытие зарастает травой.
1;Некачественное содержание детской площадки;На детской площадке со стороны Соловьиного проезда сломаны элементы МАФ: веревочная лестница на корабль, отсутствует канат и проч. Такое состояние МАФ ведет к опасности возникновения травм. Требуется произвести ремонт МАФ и следить за надлежащим состоянием площадки
2;Некачественное содержание детской площадки;Песчаное покрытие зарастает травой.
3;Ненадлежащий уход за зелеными насаждениями во дворе;Кусты засохли
4;Некачественное содержание спортивной площадки;Добрый день! Прошу установить футбольные и баскетбольные сетки на спортивной площадке во дворе дома. Спасибо
5;Наличие опасно выступающих элементов во дворе;Остатки от уреы на дороге. В моей дороге не нашла такой категории
6;Некачественное содержание малых архитектурных форм;
7;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);
8;Ненадлежащий уход за зелеными насаждениями во дворе;
9;Неубранная контейнерная площадка/переполнение контейнеров;
10;Ненадлежащий уход за зелеными насаждениями во дворе;
11;Ненадлежащий уход за зелеными насаждениями во дворе;
12;Ненадлежащий уход за зелеными насаждениями во дворе;
13;Некачественное содержание малых архитектурных форм;Вандальные надписи на МАФ
14;Некачественное содержание детской площадки;Добрый день! Детская площадка, которая есть сейчас морально и физически устарела, вся разваливается, детям не возможно на ней играть! Везде трещины, ржавчина, дырки, доски высохли на лестнице и проваливаются, лестница вся трясётся из-за неустойчивости, горка держится на одном болте! Убедительная просьба заменить полностью детскую площадку.  
15;Отсутствие урн в положенных местах;Отсутствие урн у подъезда!3-я Кабельная улица д.2
16;Ненадлежащий уход за зелеными насаждениями во дворе;Прошу убрать пни
17;Ненадлежащий уход за зелеными насаждениями во дворе;Дерево удалено, пень выкорчеван. Но при валке дерева были сломаны ветки на других деревьях и не удалены. Прошу проводить работы аккуратно и удалять случайно сломанные ветки
18;Повреждение бордюров во дворе;Повреждение бордюров! Бортовой камень имеет сколы глубиной более 3-х см. Нарушение ГОСТ Р 50597-93.Замена. Устраните нарушение!3-я Кабельная улица д.2
19;Неубранная контейнерная площадка/переполнение контейнеров;
20;Неубранная дворовая территория;
21;Повреждение лестницы во дворе;Лестница находится напротив подъезда 3 дома 3 ул Дениса Давыдова. Каркас лестницы сделан из деревяшек и постоянно разваливается. Внутри деревянного каркаса залит цемент, который крошится и абсолютно не надежный. Зимой невозможно ходить по данной лестнице
22;Некачественное содержание спортивной площадки;Провалы и повреждения покрытия. Повреждение ограждений, повреждения колец, нет сетки. Нет дверей, её почему то сняли и не поставили назад
23;Неисправность элементов освещения во дворе;На детской площадке два из четырёх фонарей не работают ( у аптеки и у 2-го подъезда)
24;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Имеются несколько ям. Во дворе при выходе из арки в сквер глубокий ров без воды перед самой плиткой по всей ширине дороги
25;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Глубокие ямы. Асфальт вот-вот провалиться в канализацию.
26;Ненадлежащий уход за зелеными насаждениями во дворе;Около 6-го подъезда несколько деревьев с сухими ветками. В УК был отправлен запрос в прошлом году на спил, но, к сожалению, был отложен и забыт ими. Прошу разобраться.
27;Ненадлежащий уход за зелеными насаждениями во дворе;У 1 подъезда отсутствует газон и цветы. Катастрофа.
28;Некачественное содержание детской площадки;На детской площадке ребенок повредил спину из-за опасно выступающего железного штыря. Просьба отремонтировать или демонтировать канат и штырь.
29;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Добрый день! В продолжение... В связи с ограничением в том числе прилагаемых фото буду формировать обращения по мере закрытия. Фото много, несколько десятков, без учёта замечаний к сделанным работам, которые выполняются, по результатам эксплуатации, не в соответствии с требованиями и нормами
30;Некачественное содержание спортивной площадки;Проваленное и повреждённое покрытие, некачественное содержание маф. Ржавчина. Погрызанные столы для тенниса, нет сетки, даже антивандальной. Очень травмоопасно
31;Работы не выполнены или выполнены частично;Наконец то установили бордюры, но почему то в пунктирном порядке. То есть не по всей длине дороги: от угла дома до фонарного столба есть, далее нет! Люди сами монтируют какие-то НЕСУРАЗНЫЕ ЗАБОРЧИКИ для сохранности озеленения газона!!!  Со стороны сквера - та же история - до тротуарной дорожки из сквера бордюры поставили, а далее по курсу нет!
32;Некачественное содержание малых архитектурных форм;Малые архитектурные формы в виде полусфер содержатся некачественно - не выполняют своей основной функции, т.е. не препятствуют заезду автомобилей на тротуар. Необходимо установить полусферы ближе друг к другу - чтобы автомобили не имели возможности проехать между ними.
33;Ненадлежащий уход за зелеными насаждениями во дворе;
34;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Повреждение дорожного покрытия на тротуаре! Травмоопасно!Авиамоторная улица д.28/4
35;Ненадлежащий уход за зелеными насаждениями во дворе;Нет газона, нет насаждений.все ужасно. Выговор УК.
36;Неубранная дворовая территория;Под окнами, со стороны дороги постоянно находится мусор. Возможно, со стороны управляющей компании будет разумным и простым решением не просто пытаться его убирать несколько раз в день, но обратиться с заявлением в ОВД по поводу нарушения гражданами, постоянно выбрасывающими его из окон, нарушающими административный кодекса 8.1.
37;Ненадлежащий уход за зелеными насаждениями во дворе;Отсутствие покоса газона!3-я Кабельная улица д.2
38;Неубранная контейнерная площадка/переполнение контейнеров;
39;Ненадлежащий уход за зелеными насаждениями во дворе;Дерево давно засохло и нависает над дорогой, где ходят люди и ездят машины. Просьба предпринять меры и спилить засохшее дерево. 
40;Просадка люка/незакрытый люк во дворе;
41;Некачественное содержание малых архитектурных форм;После обращения с просьбой починить лавочку у подъезда номер 4 её просто убрали совсем ((, прошу поставить лавку именно в этом месте, в ней нуждаются пожилые люди, живущие в этом подъезде, которым тяжело ходить. На лавке, которая находится за дверью, они сидеть не могут, т.к. дверь при распахивании может травмировать сидящих.
42;Некачественное содержание детской площадки;
43;Некачественное содержание малых архитектурных форм;Вандалы поломали урну. Просьба заменить на целую. Спасибо
44;Ненадлежащий уход за зелеными насаждениями во дворе;Требуется постричь разросшиеся ветки сирени на газоне возле корпуса 7 дома 43 по ленинскому проспекту
45;Ненадлежащий уход за зелеными насаждениями во дворе;Отсутствие полива газона, на некоторых участках газон отсутствует.
46;Ненадлежащий уход за зелеными насаждениями во дворе;Прошу устранить ужасное состояние газона вокруг дома. Газон не поливают и трава после рекультивации не только не всходит, но и почва превращается в камень.
47;Ненадлежащий уход за зелеными насаждениями во дворе;Возле детской площадки перед домом, и вот забора детского сада ( за углом забора в том числе) отсутствует газон. Просьба исправить ситуацию. По возможности тропинку оставить. Спасибо
48;Брошенный разукомплектованный автомобиль во дворе;
49;Неубранная контейнерная площадка/переполнение контейнеров;
50;Некачественное содержание детской площадки;Порванная цепь на детских качелях
51;Ненадлежащий уход за зелеными насаждениями во дворе;
52;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);ямы на дороге внутри двора, прошу обратить внимание, спасибо
53;Некачественное содержание детской площадки;На детской площадке оторвалась цепочка у качелей и уже второй случай. Просьба устранить поломку и сделать цепочки более прочными для безопасности детей.
54;Ненадлежащий уход за зелеными насаждениями во дворе;
55;Ненадлежащий уход за зелеными насаждениями во дворе;
56;Просадка люка/незакрытый люк во дворе;
57;Ненадлежащий уход за зелеными насаждениями во дворе;В сквере за домом Ленинский проспект 134 два дерева рядом с давно засохшими верхушками И дерево с засохшими ветками
58;Неубранная дворовая территория;Прошу удалить поросль с тротуарной плитки, которая ее разрушает и создаёт опасность прохода по ней при увлажнении травы и плитки.
59;Некачественное содержание малых архитектурных форм;Вандальные надписи на маф
60;Неисправность элементов освещения во дворе;Кабель закреплён к столбу с веткой
61;Неубранная контейнерная площадка/переполнение контейнеров;
62;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Повреждение дорожного покрытия во дворе! Провал!Травмоопасно!Авиамоторная улица д.30
63;Некачественное содержание детской площадки;Следует восстановить битое стекло и веревки на карусели, убрать вандальные надписи, а также проверить безопасность и целостность всех элементов детской площадке 
64;Ненадлежащий уход за зелеными насаждениями во дворе;
65;Наличие опасно выступающих элементов во дворе;На детской площадке во дворе дома Мичуринский проспект дом 9 корпус 4 торчит арматура из травы 
66;Неубранная дворовая территория;
67;Некачественное содержание детской площадки;Отсутствует защитная оплетка на подвесе
68;Ненадлежащий уход за зелеными насаждениями во дворе;нарушена целостность основания люка
69;Ненадлежащий уход за зелеными насаждениями во дворе;
70;Отсутствие урн в положенных местах;Просьба установить урну возле лавки.
71;Просадка люка/незакрытый люк во дворе;Люк открыт
72;Наличие опасно выступающих элементов во дворе;
73;Ненадлежащий уход за зелеными насаждениями во дворе;
74;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Просьба устранить повреждения дорожного покрытия между домами по Плещеева 7 и Коненкова 6а
75;Неубранная дворовая территория;Контейнер для сбора мусора (большой деревянный короб) постоянно размещают около подъезда под окнами квартир
76;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);
77;Некачественное содержание малых архитектурных форм;Некачественное содержание малых архитектурных форм (лавка, под.1). Адрес: Волгоградский проспект д.93
78;Неубранная контейнерная площадка/переполнение контейнеров;Мусорный контейнер переполнен мусором, из-за этого от контейнера исходит неприятный запах!!!
79;Неубранная дворовая территория;На газоне мусор
80;Неубранная контейнерная площадка/переполнение контейнеров;
81;Ненадлежащий уход за зелеными насаждениями во дворе;Отсутствует санитарная обрезка засохших ветвей!
82;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Заделайте дыры и глубокие трещины
83;Некачественное содержание детской площадки;На детской площадке повреждена оплётка у качелей, а также выпирает кусок резинового покрытия!!!
84;Ненадлежащий уход за зелеными насаждениями во дворе;Вытоптанный газон (под.1). Адрес: Волгоградский проспект д.93
85;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);
86;Ненадлежащий уход за зелеными насаждениями во дворе;
87;Неисправность элементов освещения во дворе;У опоры освещения отсутствует плафон!
88;Неубранная дворовая территория;
89;Ненадлежащий уход за зелеными насаждениями во дворе;
90;Повреждение бордюров во дворе;
91;Некачественное содержание детской площадки;Некачественное содержание детской площадки (все в грязи). Адрес: Волгоградский проспект д.93
92;Неубранная дворовая территория;Добрый день! Большая просьба заменить мусорный мешок. Исходит неприятный запах! 
93;Ненадлежащий уход за зелеными насаждениями во дворе;
94;Некачественное содержание малых архитектурных форм;
95;Неубранная дворовая территория;Наличие вандальных надписей на дорожном знаке во дворе!
96;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);
97;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);
98;Неубранная дворовая территория;Очистить асфальт от следов краски
99;Неубранная дворовая территория;
100;Неубранная контейнерная площадка/переполнение контейнеров;
101;Ненадлежащий уход за зелеными насаждениями во дворе;Покос всей поверхности газона бордюрным триммером 
102;Неубранная дворовая территория;Необходимо убрать мусор.
103;Ненадлежащий уход за зелеными насаждениями во дворе;
104;Неубранная дворовая территория;Неубранная территория двора около подъезда 9 по указанному адресу. Везде грязь, мусор, окурки, опавшая листва. Необходимо убрать территорию
105;Неубранная контейнерная площадка/переполнение контейнеров;
106;Ненадлежащий уход за зелеными насаждениями во дворе;Трава не растет.
107;Неубранная дворовая территория;После работ с газоном осталось много грязи на тротуаре, который никто не убрал. Только поливают и развозят грязь, ходить невозможно
108;Ненадлежащий уход за зелеными насаждениями во дворе;
109;Ненадлежащий уход за зелеными насаждениями во дворе;Выполнить повторные работы. Травяного покрова нет.
110;Неубранная дворовая территория;Добрый день, просьба очистить урну и подмести двор, где возможно. Спасибо
111;Неисправность элементов освещения во дворе;Работа уличного фонаря попеременная...
112;Ненадлежащий уход за зелеными насаждениями во дворе;
113;Неубранная контейнерная площадка/переполнение контейнеров;
114;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);
115;Неисправность элементов освещения во дворе;Не горит фонарь рядом со спортивной площадкой напротив жилищник Текстильщики номер 5 одс 
116;Брошенный разукомплектованный автомобиль во дворе;
117;Ненадлежащий уход за зелеными насаждениями во дворе;прошу восстановить газон
118;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Выбоины около подъездов 
119;Некачественное содержание малых архитектурных форм;Жигулёвская улица д.14 п.4 частично облупилась краска, частично недокрасили лавку. Халтура! Доведите до ума. 
120;Отсутствие урн в положенных местах;Отсутствие урн у подъезда!улица Пруд-Ключики д.3
121;Ненадлежащий уход за зелеными насаждениями во дворе;Во дворе торчит пень, об который можно споткнуться и получить травму
122;Повреждение ограждений газонов;Восстановить газонные ограждения во дворе .
123;Неубранная дворовая территория;
124;Повреждение ограждений газонов;
125;Неисправность элементов освещения во дворе;С торца дома 28к3 (со стороны д.30) перегорела лампа на опоре освещения рядом (со зданием ул. Кировоградская 30с2) Так же во дворе дома 28к3, возможно, неисправно освещение на детской/спортивной площадках
126;Повреждение ограждений газонов;Восстановить снятые газонные ограждения во дворе.
127;Некачественное содержание малых архитектурных форм;Жигулёвская улица д.12 к.2 п.2 облупилась краска на лавке. ремонт 
128;Неисправность элементов освещения во дворе;Не работает фонарь уличного освещения, который расположен у дома 4 по ул. Столетова ( со стороны автомобильной стоянки)
129;Ненадлежащий уход за зелеными насаждениями во дворе;
130;Неубранная дворовая территория;
131;Ненадлежащий уход за зелеными насаждениями во дворе;Кто должен следить за порядком?!
132;Неисправность элементов освещения во дворе;Не работает фонарь на площадке для малышей перед д12к3 (в него попали мячом во время игры в футбол)
133;Неубранная дворовая территория;
134;Размещение мусорных контейнеров с нарушением норм;В очередной раз просим вас устранить длящееся нарушение, а именно расположение мусорных контейнеров вне контейнерной площадки! А также отсутствие соответствующей информации!
135;Ненадлежащий уход за зелеными насаждениями во дворе;Просьба привести газон в должное состояние по всей детской площадке
136;Отсутствие песка в песочнице во дворе;Просьба пополнить песочницу, так как в песочнице не достаточно песка
137;Неисправность элементов освещения во дворе;
138;Неисправность элементов освещения во дворе;
139;Ненадлежащий уход за зелеными насаждениями во дворе;Дыры в газоне! На просьбы высадить еще в мае отреагировали точечными работами. Прошу устранить проплешины, высадить разнотравный многолетний газон
140;Ненадлежащий уход за зелеными насаждениями во дворе;Частичное отсутствие травяного покрова. Адрес: Окская улица д.18 к.2
141;Ненадлежащий уход за зелеными насаждениями во дворе;Аварийное дерево. Почти горизонтально растут.
142;Неисправность элементов освещения во дворе;Не исправно освещение на детской площадке 
143;Повреждение бордюров во дворе;
144;Неисправность элементов освещения во дворе;Не работает уличное освещение
145;Просадка люка/незакрытый люк во дворе;
146;Наличие опасно выступающих элементов во дворе;Бетонная плита на газоне
147;Просадка люка/незакрытый люк во дворе;Просадка люка (решета ливневки, под.2). Адрес: Окская улица д.20 к.1
148;Ненадлежащий уход за зелеными насаждениями во дворе;Не убирается скошенная трава! Нарушение 743-ПП!
149;Ненадлежащий уход за зелеными насаждениями во дворе;
150;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Внимание! Поврежденный пешеходный тротуар, ямы, возможно получение травм. Восстановите покрытие, обеспечьте безопасность!
151;Брошенный разукомплектованный автомобиль во дворе;Более года автомобиль без передвижений стоит во дворе дома Шмитовский проезд 15/5 подъезд 4. Занимает парковочное место, а это очень актуально для жильцов. Автомобиль покрыт МХОМ. Просьба эвакуировать.
152;Некачественное содержание малых архитектурных форм;Отсутствует три столбика
153;Неисправность элементов освещения во дворе;Не работает светильник. Пожалуйста устранить проблему. Спасибо
154;Неисправность элементов освещения во дворе;Не горят несколько фонарей во дворе дома со стороны Череповецкой улицы.
155;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Пожалуйста, восстановите асфальт на тротуаре. Спасибо
156;Некачественное содержание детской площадки;Уже несколько месяцев карусель находится в ненадлежащем состоянии. Карусель тяжело и медленно крутится видимо повреждены подшипники и трос. Кроме того карусель издает громкий скрежущий звук на весь двор. На не однократные устные замечания ни как не отреагировали.
157;Некачественное содержание спортивной площадки;И снова заскрипел оранжевый тренажёр. Как-то тщательнее можно смазать детали? Чуть больше недели прошло с момента последнего обращения!
158;Неисправность элементов освещения во дворе;Неисправно освещение во дворе и на детской площадке
159;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Эти ямы остались после сегодняшнего ремонта этой территории.Отремонтировали одну яму, а эти не заметили.
160;Повреждение ограждений газонов;С тех пор как убрали заборы, вдоль заборов вообще отсутствуют ограждения. Вследствие чего газоны вытаптываются , грунт размывается.
161;Наличие опасно выступающих элементов во дворе;
162;Реклама на дорожном покрытии во дворе;Реклама на тротуаре.
163;Некачественное содержание детской площадки;Во дворе уже не первую неделю сломано сиденье на качелях и песочница. Помимо неудобства, данные поломки могут привести к травмам детей. Просьба принять меры.
164;Несвоевременное восстановление благоустройства территории после разрытий;От улицы по косой во дворы до детской площадки и рядом с ней
165;Ненадлежащий уход за зелеными насаждениями во дворе;
166;Ненадлежащий уход за зелеными насаждениями во дворе;Подъезд 1 Полное,частичное отсутствие газонной травы Засеять травой придомовую территорию
167;Неисправность элементов освещения во дворе;Напротив 3 подъезда не горит светильник на столбе, прошу заменить светильник, и наклонить его или развернуть немного, так как светит ночью в окна спать невозможно!
168;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Повреждение дорожного покрытия во дворе (тротуар, выбоины, под.1, бок). Адрес: Окская улица д.20 к.1
169;Неисправность элементов освещения во дворе;Здравствуйте по ул. 50 лет Октября д2к1 с зади дома во дворе не работает освищение уже неделю просьба обратить внимание .
170;Ненадлежащий уход за зелеными насаждениями во дворе;Систематически не убирается скошенная трава! Нарушается 743-ПП!
171;Неубранная дворовая территория;Постоянный мусор за углом
172;Неубранная контейнерная площадка/переполнение контейнеров;
173;Некачественное содержание детской площадки;Сломано крепление
174;Некачественное содержание малых архитектурных форм;Сломана лавочка на детской площадке. Ребенок прищемил ногу. Устраните пожалуйста поломку.
175;Ненадлежащий уход за зелеными насаждениями во дворе;
176;Реклама на дорожном покрытии во дворе;Реклама на тротуаре.
177;Повреждение ограждений газонов;Подъезд 2. В отвратительном состоянии,ржавое,газонное ограждение. Привести в надлежащий вид газонное ограждение.
178;Повреждение ограждений газонов;Повреждение ограждения газонов (ржавчина и потеря окраса, под.4). Адрес: Окская улица д.20 к.1 
179;Неисправность элементов освещения во дворе;Во дворе фонарь работает с перебоями. Это уже повторное обращение. Просьба заменить на светодиодный элемент
180;Некачественное содержание детской площадки;Пожалуйста, приведите в порядок детскую площадку. Спасибо
181;Неисправность элементов освещения во дворе;На парковке за домом уже несколько недель не работает фонарь уличного освещения. 
182;Неубранная дворовая территория;На парковке развели помойку
183;Ненадлежащий уход за зелеными насаждениями во дворе;
184;Неисправность элементов освещения во дворе;Мигает фонарь во дворе, на предыдущее сообщение пришёл ответ, что неполадка устранена. Но фонарь начинает мигать каждый день после 23:00 Не возможно спать! Прошу устранить неполадку и решить данную проблему. К сожалению портал не даёт возможность прикрепить видео
185;Некачественное содержание малых архитектурных форм;Необходимо очистить вазоны от вандальных надписей
186;Просадка люка/незакрытый люк во дворе;Разрушен асфальт вокруг люка, есть риск провала - требуется ремонт.
187;Ненадлежащий уход за зелеными насаждениями во дворе;5-7 подъезд
188;Ненадлежащий уход за зелеными насаждениями во дворе;На фото представлены деревья, поражённые короедом и древесным грибом, а также сухие ветви больших и малых размеров. Прошу обратить внимание на фото представлены малая часть всех пораженных деревьев во дворе дома ул. Днепропетровская 31.
189;Ненадлежащий уход за зелеными насаждениями во дворе;
190;Ненадлежащий уход за зелеными насаждениями во дворе;
191;Неисправность элементов освещения во дворе;Здравствуйте! На детской площадке гаснет свет.
