;Локальная тема;Описание
0;Отсутствие возможности записи к врачу;Не могу записаться нет записи мне нужен рецепт таблетки кончаються
1;Отсутствие возможности записи к врачу;Ни одним способом невозможно записать ребенка к врачу для получения направления на анализы и справки в детский сад. Записи нет ни к одному из педиатров и в кабинет выдачи справок и направлений на 2 недели вперед. При этом в коридорах нет пациентов. Эта проблема возникает регулярно.
2;Отсутствие льготного лекарственного средства;В аптеке отсутствует положенное мне льготное лекарство Салофальк (суспензия для ректального введения).Обратилась за назначенным мне лекарством в январе 2020 года. Зав.тер. отделением г. Князев А.С. ,сказал,что лекарство заказано,но т.к. это индивидуальный заказ нужно подождать Жду поступления лекарства уже 8 месяцев. Сколько еще нужно ждать?
3;Техническая невозможность записи к врачу через официальный сайт Мэра Москвы;Отсутсвует возможность записи к ЛОР
4;Ожидание приема врача в поликлинике по предварительной самозаписи более часа;Час в очереди, ради осмотра перед прививкой! Бардак!
5;Неисправность/недоступность инфраструктуры для маломобильных граждан;Нет съезда для колясок в нескольких местах на территории поликлиники.
6;Отсутствие возможности записи к врачу;Записи нет на август
7;Отсутствие возможности записи к врачу;"Больше двух недель нет записи к участковому педиатру Костиковой Ирине Анатольевне! Перед учебным заведением нужно получить справку, а записи к НАШЕМУ педиатру нет. Стоит надпись нет доступных для самостоятельной записи через интернет"" Сколько можно ждать записи? Пробовала заходить и в 7 утра и в течении дня, даже ночью, в надёжде найти запись."
8;Ожидание врача-терапевта по вызову на дом более суток;вызывала врача 97 летней пациентке. Сказали. что врач будет до 20,00. В 19,30 начала звонить в колл-центр вызов на дом 8 495 125 31 31 - трубку не берут. 84953947811 тоже не отвечает. Помощь так и получили. Прошу разобраться и принять меры 
9;Ожидание в очереди к дежурному врачу более 2 часов;Ожидание в очереди к дежурному врачу более 3 часов.
10;Ожидание врача-терапевта по вызову на дом более суток;Врач явился около 18 на следующий день только!
11;Отсутствие карты в кабинете врача на начало приема;Записались к врачу Шориковой Ольге Митрофановне через приложение EMIAS на 18.08.2020, время 12.12, для получения копии прививочного сертификата (для детского сада). На момент приема в кабинете врача не было карты ребёнка. Ее не смогли найти даже через час после начала приема, нас отправили в живую очередь и продолжили принимать других пациентов.
12;Неисправность/недоступность инфраструктуры для маломобильных граждан;Пандус в каком-то феноменальном состоянии.
13;Техническая невозможность записи к врачу через официальный сайт Мэра Москвы;нет возможности записаться к врачу-гематологу. проблема уже более месяца. что делать онкобольным?
14;Неисправность/недоступность инфраструктуры для маломобильных граждан;Подъёмное устройство для инвалидных колясок не работает. 
15;Отсутствие карты в кабинете врача на начало приема;Сегодня пришли на прием к хирургу. 13.08 были у педиатра. Доктор сделала копии УЗИ, которые были вложены в карту. Карты у хирурга не оказалось. Я мама, сбегала на ресепшн, попросила принести карту. Девушка принесла, да не ту. Больше мы никого из сотрудников так и не дождалась с картой. результат показать результат УЗи хирургу не удалось. Напрасно с
16;Отсутствие возможности записи к врачу;невозможно записаться к врачу уже вторую неделю,нужен участковый врач,а не дежурный
17;Ожидание врача-терапевта по вызову на дом более суток;При повторном вызове врача на дом из поликлиники никто не пришел.
18;Неисправность/недоступность инфраструктуры для маломобильных граждан;Не работает лифт в поликлинике, уже третий месяц, мне как маме с двумя младенцами невозможно самостоятельно попасть на верхние этажи к врачам, по поводу сроков ремонта никто не даёт информацию
19;Отсутствие возможности записи к врачу;Добрый день! Столкнулась с проблемой записи к участковому врачу, единственный день, когда можно попасть на прием к участковому терапевту: 28.08.2020Мне необходимо получить от него всего лишь направление к эндокринологу и маммологу, дежурный врач, как сказали в поликлинике -направления к данным специалистам не выдает. Я не могу столько ждать!
20;Отсутствие уведомления/не обеспечена запись к врачу при отмене приема по инициативе поликлиники;06.08.2020 врачем диспансера был направлен в поликлинику для прохождения курса лечения(уколы). Ближайшая запись к участковому врачу была на 18.08.2020. Сегодня 12.08.2020 перезванивают из поликлиники и сообщают, что врач заболела - перезаписывайтесь. Перезаписать по телефону в разговоре отказались. Свободных врачей для записи нет. Перезапись невозм
21;Неисправность/недоступность инфраструктуры для маломобильных граждан;Детская поликлиника, но нет ни одного нормального съезда-заезда для мам с колясками. Это ещё фотографии без припаркованных машин, обычно там всё запарковано. Решите проблему.
22;Отсутствие возможности записи к врачу;Хотела записаться к узкому специалисту с внезапной проблемой, но для этого сначала нужно посетить терапевта, к которому запись возможна только через 2 недели? Это ненормально! Терапевты должны быть доступны в день обращения! 
23;Отсутствие возможности записи к врачу;Супруг не может сейчас записаться к терапевту. Нет талонов ни одного снова. 
24;Ожидание приема врача в поликлинике по предварительной самозаписи более часа;Добрый день! Сегодня была записана на прием к врачу Якимчук Елене Викторовне, врач опоздала. Прием не состоялся. Пока она подготавливала свое рабочее место (включение компьютера, как она мне сказала) моё время приёма вышло. Подошёл пациент на следующее время. Елена Викторовна даже не извинилась за опоздание. Впустую прождав её я сама.
25;Отсутствие возможности записи к врачу;Невозможно записаться к участковому врачу. По какой причине я не могу записаться к врачу в обычный день и обычное время? Почему я должна заходить на сайт МОС. РУ В 7.30 УТРА! Что за совковое отношение ко всему? Пыталась записаться к врачу неделю, позвонив в пол-ку мне сообщили, что запись возможна только в 7.30 утра. ЧТО ЗА АБСУРД? 
26;Отсутствие возможности записи к врачу;Месяц через приложение нет записи к врачу,список врачей очень большой но записи нет ни к кому.Что бы попасть на приём нужно придти,записаться через пост и либо ждать свою очередь несколько часов,либо бегать туда сюда.Зачем такой список врачей? Данной проблеме не день и не неделя.Если тебе удаётся записаться , твою запись отменяют и говорят приходит
27;Отсутствие уведомления/не обеспечена запись к врачу при отмене приема по инициативе поликлиники;Моему ребенку нужно срочно делать справки для детского лагеря. За 2 недели я записала ребенка к педиатру. Поликлиника отменила запись за 1 рабочий день без звонка и без предупреждения. А следующие записи только через неделю. Обращалась к руководству поликлиники, но запись так и не была восстановлена.
28;Нарушение сроков проведения профилактических осмотров детей первого месяца жизни;Жалоба по патронажу грудничка! Все началось с выписки с роддома 27.07.2020 года, не приходил педиатр ни на первые сутки и на вторые тоже, позвонив самой в поликлинику мне пришлось самой диктовать данные о ребёнке, чтобы были включены в патронаж. Дальше 07.08.2020 сделав вызов на дом педиатра к ребёнку с 8:37, он так до нас и не дошёл!
29;Отсутствие возможности записи к врачу;Нет возможности попасть к врачу вообще. 
30;Отсутствие уведомления/не обеспечена запись к врачу при отмене приема по инициативе поликлиники;06.08.20 была записана на приём к врачу неврологу. После получасового ожидания и обращения в регистратуру выяснилось, что записи у данного врача отменены и перенесены. Меня не уведомили об это не по средствам звонка, или сообщения на электронную почту. На портале мос.ру запись находилась в течение всего дня. 
31;Отсутствие возможности записи к врачу;Здравствуйте! уже неделю не могу записаться к терапевту. окошек для записи просто нет, ни в какое время. в регистратуре ничем не помогли. мне как беременной, с болями в области живота, даже не попасть на консультацию к терапевту, я уже молчу о том, что на срочное узи с болями меня записали только через две недели. прошу решить данный вопрос.
32;Ожидание врача-терапевта по вызову на дом более суток;Добрый день. Спустя более суток на дом не пришел ни терапевт, ни ковидная бригада. Температура 38 градусов в течение четырех дней. Терапевт отказывается приходить домой, ссылаясь, что должна приехать скорая. Скорая, в свою очередь, ссылается на терапевта. В итоге я лежу дома с температурой 38, все перекладывают ответственность друг на друга. 
33;Ожидание врача-терапевта по вызову на дом более суток;Я пишу от имени моей мамы, которой 83 года! она ветеран труда и инвалид! мы ждем врача на дом так как она не может передвигаться! мы ждали весь день вчера и сегодня на мой звонок - мне просто говорят придет! Общалась с заведующей поликлиник Анна Викторовна, обещала мне помочь - но опять же ничего не было. Сдать анализы и осмотр хирурга. 
34;Ожидание врача-терапевта по вызову на дом более суток;Вызвала врача 04.08.2020 в 13.40 ! Сегодня 05.08.2020 ~ уже 15:04 врач не пришёл и не позвонил.
