;Локальная тема;Описание
0;Незаконное размещение нестационарных торговых объектов;Незаконное размещение торгового объекта
1;Незаконное размещение нестационарных торговых объектов;Киоск на детской площадке
2;Незаконное размещение нестационарных торговых объектов;
3;Незаконное размещение нестационарных торговых объектов;Законно ли стоит ? Все на полу и запах ужас
4;Незаконное размещение нестационарных торговых объектов;
5;Незаконное размещение нестационарных торговых объектов;
6;Незаконное размещение нестационарных торговых объектов;В сообщении №27297826 мне ответили, что незаконных объектов торговли не обнаружено! Однако снова с 20.08.2020 стоит та же машина и ведется торговля овощами и фруктами. Настоятельно прошу Вас разобраться в данной проблеме и разыскать собственника автомобиля для привлечения к ответственности, а также прекратить факт незаконной торговли!
7;Незаконное размещение нестационарных торговых объектов;Торговля овощами, фруктами. Разрешение на торговлю отсутствует, происхождение товаров не подтверждают
8;Незаконное размещение нестационарных торговых объектов;Прошу ликвидировать продажу Арбузов и дынь в районе северное Бутово перед поворотом на старокачаловскую улицу
9;Незаконное размещение нестационарных торговых объектов;Прошу ликвидировать несанкционированную торговлю!!! Возле Жк Гренада северное Бутово 
10;Незаконное размещение нестационарных торговых объектов;Ежедневно продают напитки с машины. Неизвестно какие, какого качества, так как точка без разрешения. Торгуют уже длительный период. 
11;Незавершенный демонтаж нестационарных торговых объектов;Стоял ларёк, после демонтажа теперь незаконная парковка на тротуаре. Просьба вернуть озеленение, бывшее тут до ларька.
12;Несвоевременное восстановление благоустройства после демонтажа нестационарных торговых объектов;Демонтаж произвели, а убрать территорию и восстановить забыли.
13;Незаконное размещение нестационарных торговых объектов;НТО в парке уже находилось в 17.00 18.08.2020.
14;Незаконное размещение нестационарных торговых объектов;НТО за пределами рынка. Информация на портале отсутствует.
15;Незаконное размещение нестационарных торговых объектов;Ежедневно осуществляют незаконную торговлю из автомобиля
16;Незаконное размещение нестационарных торговых объектов;Прошу проверить законность размещения нестационарного торгового объекта, располагающегося около фонтана в центре парка
17;Незаконное размещение нестационарных торговых объектов;"Прошу проверить законность размещения нестационарного торгового объекта, располагающегося слева от центрального цветника в парке ""Сокольники""."
18;Незаконное размещение нестационарных торговых объектов;Прошу проверить законность размещения нестационарного торгового объекта, располагающегося около танцевальной веранды главной аллее Парка
19;Незаконное размещение нестационарных торговых объектов;"Прошу проверить законность размещения нестационарного торгового объекта, располагающегося на 3-м лучевом просеке в парке ""Сокольники""."
20;Незаконное размещение нестационарных торговых объектов;"Прошу проверить законность размещения нестационарного торгового объекта, располагающегося в парке ""Сокольники""."
21;Незаконное размещение нестационарных торговых объектов;"Прошу проверить законность размещения нестационарного торгового объекта, располагающегося у фонтана в парке ""Сокольники""."
22;Незаконное размещение нестационарных торговых объектов;"Прошу проверить законность размещения нестационарного торгового объекта, располагающегося на 3-м лучевом просеке около круга в парке ""Сокольники""."
23;Незаконное размещение нестационарных торговых объектов;Прошу проверить законность размещения нестационарного торгового объекта, располагающегося в парке.
24;Незаконное размещение нестационарных торговых объектов;Прошу проверить законность размещения нестационарного торгового объекта, располагающегося центре парка у фонтана справа.
25;Незаконное размещение нестационарных торговых объектов;Прошу проверить законность размещения нестационарного торгового объекта, располагающегося в центре парка слева от Фонтана
26;Незаконное размещение нестационарных торговых объектов;"Прошу проверить законность размещения нестационарного торгового объекта, располагающегося у центрального входа парка ""Сокольники""."
27;Незавершенный демонтаж нестационарных торговых объектов;Половину ларька демонтировали, вторую половину - нет. Просьба проверить.
28;Незаконное размещение нестационарных торговых объектов;Регулярно приезжает данная газель и устраивает торговлю овощами возле мусорного бака без каких-либо разрешений. Прошу вас оштрафовать организаторов и воспрепятствовать подобной незаконной и антисанитарной торговле.
29;Незаконное размещение нестационарных торговых объектов;
30;Незаконное размещение нестационарных торговых объектов;Снова эта машина, на том же месте! Сколько это будет продолжаться?!
31;Незаконное размещение нестационарных торговых объектов;Информация на портале по размещению НТО отсутствует, прошу убрать.
32;Незаконное размещение нестационарных торговых объектов;
33;Незаконное размещение нестационарных торговых объектов;
34;Незаконное размещение нестационарных торговых объектов;По вечерам торговля по прежнему идет
35;Незаконное размещение нестационарных торговых объектов;Опять появился нестационарный объект торговли на пешеходной зоне, не предназначенный для торговли с автомобиля. Стоит с не выключенным двигателем. Просим привлечь к ответственности.
36;Незаконное размещение нестационарных торговых объектов;Не закконая торговля, мешает проходу людям. примените меры пожалуйста.
37;Незаконное размещение нестационарных торговых объектов;
38;Незаконное размещение нестационарных торговых объектов;
39;Незавершенный демонтаж нестационарных торговых объектов;
40;Незаконное размещение нестационарных торговых объектов;Профсоюзная 130к1, у 1-го подъезда ЕЖЕНЕДЕЛЬНО по вторникам происходит незаконная торговля с Газели. Торговля в по вторникам в районе 8:00. Уже много обращений было. Каким образом происходит ранее указанный контроль?? Фотографии сделаны 11 августа в 8:06. Ещё раз прошу взять территорию на контроль, торговля только по вторникам в районе 8:00
