;Локальная тема;Описание
0;Ненадлежащий уход за зелеными насаждениями в парке;
1;Некачественное содержание инфраструктуры в парке;Прошу удалить вандальный знак на скамейки.Буду игнорировать левые фото.
2;Некачественное содержание инфраструктуры в парке;Безобразно-облезлые скамейки на детской площадке в начале ул.Ратная рядом с нижним прудом, просим покрасить
3;Ненадлежащий уход за зелеными насаждениями в парке;Сколько можно косить траву, уже проплешины видны и после покоса не убирают траву, она гниет. 
4;Некачественное содержание инфраструктуры в парке;Покрасили только ОДНУ лавку и 2 урны рядом с ней. Покрасили ПЛОХО(фото прилагаю). В парке вокруг озера 12 лавок+ на прилегающих дорожках. Все не окрашены.+ есть поломанная лавка в глубине парка(ближе к университетскому проспекту). Просьба установить БОЛЬШЕ лавок ближе к университетском пр вдоль тропинок и в деревьях.
5;Некачественное содержание спортивной площадки в парке;Столы для настольного тенниса покрашены краской которая не ровно лежит. В связи С этим играть в теннис невозможно. Просьба привести в надлежащий вид.
6;Ненадлежащий уход за зелеными насаждениями в парке;
7;Некачественное содержание инфраструктуры в парке;Раньше я писал жалобу на ванлальный знак на лавочке,но увы я получил левое фото. ВЫ Даже искать не стали эту лавочку.хотя ч указал точные геоданные её местонахождения.
8;Некачественное содержание инфраструктуры в парке;Ржавые ограждения детской площадки в парке, ш б. 
9;Ненадлежащий уход за зелеными насаждениями в парке;
10;Неисправность элементов освещения в парке;Напротив дома #4 по ул. Маршала Кожедуба 2 фонаря включаются и выключаются каждые пару минут
11;Некачественное содержание инфраструктуры в парке;Ненадлежащее качество работ по т.н. «ремонту» тротуаров. В частности, в восточной части парка, в районе клуба «Крошка Енот» бордюры уложены с дефектами, и, похоже, засыпан приемный колодец ливневой канализации на перекрёстке тропинок.
12;Ненадлежащий уход за зелеными насаждениями в парке;Ненадлежащее качество проведённого уже около месяца назад т.н. «ремонта» газонов, в частности, в центральной части парка
13;Ненадлежащий уход за зелеными насаждениями в парке;Данная картина на удалении не более 25-30 метров от места пересесения дорог ведущией от Алуфьевского шоссе и входа на территорию Алтуфьевского кладбища. Прошу организовать работы по восстановлению целостности травяного покрова газона.
14;Наличие опасно выступающих элементов в парке;
15;Неубранная парковая территория;Брошенный инструмент
16;Ненадлежащий уход за зелеными насаждениями в парке;
