;Локальная тема;Описание
0;Неудовлетворительное техническое/санитарное состояние;В автобусе не работает кондиционер. Прошу вас это исправить.
1;Неудовлетворительное техническое/санитарное состояние;Неисправен кондиционер + неприятный запах при подаче воздуха в салон.
2;Неудовлетворительное техническое/санитарное состояние;В салоне автобуса очень жарко. На салонном табло показывается явно заниженная температура. Кондиционер не работает
3;Неудовлетворительное техническое/санитарное состояние;Не полностью горят оба круглых передних габаритных огней, передний бампер автобуса весь в сколах и повреждениях, печка по правой стороне автобуса отваливается, неисправен кондиционер, температура +30 градусов, грязная перегородка кабины водителя. Прошу исправить выявленные недочёты. Спасибо.
4;Неудовлетворительное техническое/санитарное состояние;Грязь и следы коррозии на кузове автобуса, у второй двери полностью стерты все информационные стикеры, на задней крышке двигателя присутсвуют грязные следы от копоти и масла. Прошу исправить выявленные недочёты. Спасибо.
5;Неудовлетворительное техническое/санитарное состояние;Вода внутри второго стеклопакета с левой стороны. Необходимо его заменить и нанести узор сверху снаружи.
6;Неудовлетворительное техническое/санитарное состояние;"На кузове втобуса присутсвуют множественные грязные следы, отсутствует ручка лючка АКБ, отсутствует стикер ""Мосгортранс"" у первой двери. Прошу исправить выявленные недочёты. Спасибо."
7;Неудовлетворительное техническое/санитарное состояние;Не работает фонарь ближнего света. В салоне между первой и второй дверью с левой стороны трещина в обшивке салона и белый налет
8;Неудовлетворительное техническое/санитарное состояние;Поручень в непотребном виде. С непонятной целью он обмотан жёлтой изолентой, обклеен желтыми наклейками, покрашен испорченной несохнущей желтой краской, которая линяет и пачкает руки и одежду пассажиров. Прошу вас перестать портить поручни, поручни должны быть гладкими и чистыми: без изоленты, без наклеек, без вашей любимой испорченной желтой краски!!!
9;Неудовлетворительное техническое/санитарное состояние;В салоне жарко. Отошел уплотнитель от технического отверстия в задней части салона
10;Неудовлетворительное техническое/санитарное состояние;Неудовлетворительное состояние стекла
11;Неудовлетворительное техническое/санитарное состояние;Грязь
12;Неудовлетворительное техническое/санитарное состояние;Грязь, пыль
13;Неудовлетворительное техническое/санитарное состояние;Щель
14;Неудовлетворительное техническое/санитарное состояние;Пыль, грязь
