;Локальная тема;Описание
0;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Этот тротуар находится у перекрестка сахалинской и камчатской улиц, почему убрали газон и насыпали песок? И это повсеместно где меняли асфальт ( по всей сахалинской улице). Прошу объяснить это, где газон полноценный?
1;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Юных Ленинцев 99, яма на тротуаре перед магазином
2;Неисправность элементов освещения на проезжей части/тротуаре;Не достаточно освещения, травмоопасно для пешеходов. Не горит фонарь уличного освещения на разворотном круге у церкви Воздвижения и поэтому пешеходная дорожка от храма к станции мцд2 «трикотажная» утопает во тьме
3;Стертая дорожная разметка;Стёрлась дорожная разметка от д.31к1 по ул Братиславской до ул. Новомарьинской
4;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;После покоса траву не убрали
5;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
6;Поврежденные дорожные ограждения;Сломаны парковочное ограждение. Один выломан полностью , остальные просто вставлены.
7;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Газон с проплешинами, если уж бреете, то извольте регулярно поливать и удобрять.
8;Неубранная проезжая часть/тротуар;напротив выхода из метро на газоне вдоль дороги - мусор (большое количество окурков, использованные маски, бумажки - см. фото). прошу: убрать. При необходимости перенаправить сообщение в более подходящую тему (скверы, дворовые территории или городская территория).
9;Нечитаемые дорожные знаки;
10;Некачественная укладка плитки на тротуаре;
11;Неубранная проезжая часть/тротуар;"нельзя подойти к дому 19 , так как свален старый асфальт, стоит дорожная техника. Уже в течение 14 дней ""типа"" меняют асфальт на тротуаре и дороге. "
12;Неисправный светофор;Новый светофор на ул.Вертолетчиков, стрелка направо на ул.Маршала Еременко не включается вообще никогда. Просьба корректно настроить светофорный объект. Это единственный работающий въезд в мкрн.
13;Неубранная проезжая часть/тротуар;
14;Наличие опасно выступающих элементов на проезжей части/тротуаре;Поврежденный элемент инфраструктуры в начале моста.
15;Противоречия при установке дорожных знаков;"На Самотечное улице противоречие знаков 6.4 ""Парковка (парковочное место)"" и 5.14 ""Полоса для маршрутных транспортных средств"". Согласно п. 18.2 ПДД на дорогах с полосой для маршрутных транспортных средств запрещаются движение и остановка других транспортных средств."
16;Неисправность элементов освещения на проезжей части/тротуаре;
17;Неисправность элементов освещения на проезжей части/тротуаре;
18;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел люк
19;Поврежденные/неправильно установленные дорожные знаки;Знак «кирпич» развернули в противоположном направлении.
20;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Просела заплатка. Выделено место ремонта ! Большая просьба не делать бугров после ремонта
21;Поврежденные/неправильно установленные дорожные знаки;Мигает подсветка знака 
22;Поврежденные искусственные дорожные неровности;отвалился кусок
23;Наличие опасно выступающих элементов на проезжей части/тротуаре;
24;Неубранная проезжая часть/тротуар;
25;Неубранная проезжая часть/тротуар;Площадь заср. голубями.
26;Поврежденные дорожные ограждения;Ушатанные, заср. и изрисованные скамьи
27;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел асфальт вокруг люка
28;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Просела заплатка. Выделено
29;Просадка люка/Незакрытый люк на проезжей части/тротуаре;"Уважаемый ПОНОМАРЕНКО А.М. генеральный директор АО ""Мосводоканал""! Работы по ремонту другого люка колодца выполнены! А тот люк - уточняю: Садовнический проезд, У дома №22/24с1 Овчиниковская набережная. Глубокий провал люка смотрового колодца так и остаётся вплоть по 24.08.2020!!!:(((.... Прикреплены 4 фото конкретного факта данного тех.нарушения!!!"
30;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Открыт люк
31;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение тротуара
32;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы
33;Неубранная проезжая часть/тротуар;
34;Брошенный разукомплектованный автомобиль на проезжей части;На стоянке около дома 3 по 15- Парковой ул. стоит уже год
35;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Открыт люк
36;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Напротив жёлтой будки просел люк мосводоканал
37;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Открыт люк
38;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел асфальт вокруг люка
39;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Открыт люк
40;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Приведите территорию люка в надлежащее состояние.
41;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
42;Поврежденные/неправильно установленные дорожные знаки;Выгорели светодиоды в подсветке знака
43;Неубранная проезжая часть/тротуар;Прошу убрать мусор на газонах по всей улице от Дома Выборгская д 20 корп 2 до пересечения с Адмирала Макарова 
44;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Из-за чрезмерно частого кошения травы и из-за того, что траву косят под корень, она гибнет. По всей улице Паустовского выкошеное под корень сено.
45;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
46;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел люк
47;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
48;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма
49;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Приведите территорию люка в надлежащее состояние.
50;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Открыт люк
51;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
52;Повреждение бордюров на проезжей части/тротуаре;Приведите бордюры в надлежащее состояние.
53;Просадка люка/Незакрытый люк на проезжей части/тротуаре;На свх в сторону Лосиноостровская сильно завышен люк Мосводоканал. Локация указана верно! Просьба выравнять на уровень основного асфальта
54;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);"Ведутся очередные ""раскопки"" около остановки общественного транспорта м. Ботанический сад в сторону центра- 154.33.428 маршрутов -ограждения не закреплены и упали на проезжую часть. Огромные ямы в которые можно упасть"
55;Поврежденные дорожные ограждения;Ограждение покосилось и в некоторых местах повреждено
56;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Заезженный газон
57;Наличие опасно выступающих элементов на проезжей части/тротуаре;Под мостом на тротуаре опасно выступающий кусок арматуры, об который спотыкаются пешеходы
58;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы)
59;Повреждение бордюров на проезжей части/тротуаре;Выбит бордюр вдоль проезжей части.
60;Повреждение бордюров на проезжей части/тротуаре;Выбит бордюр вдоль проезжей части.
61;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
62;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
63;Поврежденные дорожные ограждения;Ограждение установлено неровно.
64;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
65;Неубранная проезжая часть/тротуар;Надпись на бордюре.
66;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма и повреждение покрытия.
67;Неисправный светофор;Смотрит вниз высотный светофор . Просьба выравнять перпендикулярно относительно асфальта
68;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;У въезда в гаражи по Касимовской улице (вдоль железной дороги) стоят три сухих дерева.
69;Нечитаемые дорожные знаки;Эвакуаторы работают.А так знак в листве ставить можно ?
70;Поврежденные искусственные дорожные неровности;"У искусственной неровности отсутствует секция; У «Лежачего полицейского» стерлась светоотражающая краска желтого цвета."
71;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);
72;Наличие опасно выступающих элементов на проезжей части/тротуаре;
73;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
